6739,76305,230,1,
7460,81008,1455,4,
6701,7556,1159,2,
8021,36492,3727,2,
6442,11282,4387,5,
5643,36216,1619,1,
7186,48203,2691,5,
6668,7427,2037,3,
8669,51578,4237,4,
8206,77899,4089,1,
7732,31755,3700,5,
8107,32824,4168,5,
8925,5211,4001,4,
5732,66187,2198,4,
6728,839,1956,2,
6370,63643,2657,2,
8150,76537,1299,4,
5709,67374,157,4,
8719,4068,257,4,
5727,2709,2463,2,
7796,72708,3527,5,
6485,87513,2909,4,
7042,41460,574,4,
8904,35404,2612,4,
6029,19629,1884,1,
8189,23923,366,2,
8323,60958,755,3,
8216,64735,621,4,
6212,83962,2328,5,
6573,63393,1292,4,
6914,39822,3569,3,
5755,52698,3188,4,
8460,11223,598,3,
6509,40772,3121,4,
6084,54176,4676,2,
7432,76819,2649,5,
5675,16386,3847,5,
6696,73447,3156,4,
7291,58811,490,2,
7191,89532,2585,4,
8635,54693,122,3,
7233,81056,2502,4,
6100,54643,1791,4,
8254,23369,3181,1,
5792,15945,1723,2,
7727,36767,4649,1,
8878,83338,1903,5,
8850,53294,1827,3,
7158,58677,2557,3,
7100,10473,2084,3,
7332,21152,3331,2,
7896,17777,3911,2,
7467,7788,1729,2,
6055,20323,3955,5,
6294,76743,133,4,
8021,20132,3727,3,
8305,41753,3066,2,
6940,80369,1889,5,
6891,65424,4238,1,
7857,79853,367,2,
5921,50578,2576,3,
6377,45126,79,5,
7593,63401,4700,4,
6412,21868,938,5,
8529,25673,3745,3,
7837,29745,2178,3,
7212,8732,2316,3,
8282,5479,4133,5,
8624,88407,3573,4,
5624,71829,1621,4,
7761,75902,4701,2,
8071,38559,3861,1,
7804,76481,1517,5,
8820,40268,3202,2,
6036,13759,1337,5,
5844,6208,136,2,
7698,81437,3114,4,
5639,46775,2579,4,
7129,48960,3625,1,
6221,39616,3362,3,
8802,69200,3567,1,
6724,49994,4622,3,
6124,9815,4801,3,
7132,24836,1784,5,
8546,53474,2708,3,
5643,24171,1619,5,
8071,9170,3861,2,
8156,3049,2011,5,
7767,61886,1189,5,
7764,60090,3278,3,
8146,37332,2768,3,
8680,82963,4408,3,
8024,70243,4506,1,
8494,16497,1342,4,
6004,76174,2190,3,
7755,56752,226,5,
5963,240,1205,3,
8589,88433,631,4,
7347,27837,314,1,
6505,72604,1305,2,
8642,6162,984,4,
6554,58145,1889,5,
8034,86122,4335,3,
6622,2507,3803,1,
8302,33713,1229,4,
8036,78166,4206,3,
7516,7978,1937,1,
7009,70536,4850,3,
8932,2487,4842,3,
8882,85701,2126,3,
8943,11017,4946,1,
7073,2324,1763,5,
8370,68498,2061,1,
8587,59617,145,3,
8888,21645,4433,4,
6774,27272,4844,3,
8906,50664,2709,4,
8414,84880,3262,1,
7317,14764,4048,5,
7266,76670,370,1,
7873,89838,3820,3,
8773,55496,2289,2,
5883,17993,113,4,
5820,85882,510,2,
5681,8428,1062,2,
8215,21205,2819,4,
5956,7565,2731,4,
8905,54998,1045,3,
6647,43976,3909,1,
8088,79350,3984,3,
5932,37240,2691,5,
5714,46464,1845,5,
5943,17587,951,2,
8924,75079,2221,3,
7577,43176,3137,2,
7228,757,3375,4,
7321,86017,4010,1,
6503,30851,4635,5,
6267,49438,2748,1,
8116,57717,424,2,
8837,35078,2701,1,
8238,81136,648,3,
8624,35149,3573,5,
7071,77941,1727,1,
5978,3300,2718,4,
7840,75274,3143,1,
6058,41057,57,1,
7761,48008,4701,3,
8476,53238,4538,4,
6127,33807,4621,2,
8512,86294,3430,4,
6057,79754,2503,5,
6903,84329,1002,3,
8024,79194,4506,1,
6591,15949,709,1,
6302,64772,1717,2,
7306,58197,86,2,
8284,59602,4455,3,
5932,50839,2691,5,
8782,7027,695,1,
7196,63944,4862,2,
8796,14373,528,3,
7857,26657,367,4,
7165,36285,3318,1,
5932,16487,2691,3,
7713,43921,2808,3,
5725,86592,1304,3,
6963,63818,3423,3,
8064,42492,58,1,
5868,38563,3927,3,
6561,60895,2583,4,
8053,82366,353,5,
7928,45119,3451,5,
7351,73012,565,1,
7590,73578,3841,5,
8556,61871,1665,5,
8467,32873,4853,3,
6245,83716,527,5,
7765,75574,100,3,
7864,29332,1471,4,
8844,439,3496,1,
8698,24926,90,4,
7980,39264,88,2,
6243,16839,4033,3,
7994,31023,2176,5,
6259,30488,4028,3,
7977,5945,4157,5,
7241,12238,993,4,
6707,68476,4743,2,
6646,10875,2428,3,
6570,49822,446,5,
6090,32918,1292,1,
7761,59624,4701,3,
6829,12657,2230,1,
6756,89175,1240,3,
5725,63251,1304,4,
8307,34786,2630,1,
5787,11617,3832,4,
5643,17490,1619,3,
8567,29429,1313,3,
8301,42080,1594,4,
8129,31307,3468,5,
7141,18007,1787,1,
5982,59099,2838,2,
7317,21202,4048,3,
6589,57788,529,4,
7972,41273,2769,1,
8531,69299,1377,2,
8969,16994,4612,4,
7520,88385,4711,5,
7344,83368,3945,1,
7496,43629,2331,1,
7850,36530,164,2,
8158,36462,2310,2,
7612,13379,239,1,
7098,52526,3803,4,
8424,12659,2781,3,
6087,3149,2008,4,
6732,34099,4706,5,
6287,67651,2693,5,
8644,69733,1345,1,
7185,11094,3121,2,
7976,87891,3490,1,
5706,41367,317,4,
7543,68455,2012,5,
6323,87644,3461,1,
7687,78919,2285,5,
8404,20151,398,4,
8810,87066,2152,4,
6709,48897,702,3,
6257,39416,3964,2,
8539,27725,2420,1,
5943,47130,951,5,
8752,5352,3536,3,
8983,19155,3334,1,
6387,85901,3408,4,
7330,70720,4960,3,
5958,41429,2683,5,
7658,59521,4488,1,
8950,61667,897,4,
8195,37876,1374,1,
6595,72740,3443,4,
6946,41910,1061,3,
7177,40828,4331,4,
6712,62814,1617,1,
7355,77610,1958,5,
8326,17783,925,2,
5611,60205,1544,4,
6556,81053,2044,5,
8885,3952,2901,5,
8832,1411,4837,1,
7030,87344,2933,4,
7619,53728,3579,2,
7158,32537,2557,1,
8765,73197,4348,1,
5869,2255,3180,2,
6247,1020,1536,1,
5937,16614,4161,4,
8884,1563,2267,4,
7891,15090,4654,3,
8453,28314,140,5,
6569,77179,2718,3,
7160,63748,2596,3,
7153,72556,2136,2,
7857,15914,367,3,
8911,7633,4021,2,
5784,59188,3415,5,
8263,5488,935,3,
8106,10227,769,4,
8216,80706,621,4,
5926,19166,1184,4,
8199,82871,4634,3,
5857,23099,1795,4,
6292,46219,4698,4,
8427,62399,1088,4,
8168,63524,4789,4,
5911,17578,4555,3,
8749,79656,4418,2,
6856,14092,125,2,
8671,85300,4108,5,
8072,56637,1877,5,
8995,42722,4320,5,
8422,75237,4346,3,
6050,11751,4182,4,
7738,44078,3799,1,
8058,18389,1164,2,
8658,25899,3101,2,
8417,64015,1882,4,
6058,10497,57,2,
8025,65827,4688,2,
7100,87522,2084,5,
8558,11434,1760,2,
6969,4865,1047,5,
6746,37861,205,1,
6333,1990,1782,2,
7832,76307,3238,4,
6338,34533,1952,5,
5766,76643,1585,5,
8841,85198,4660,4,
8760,37386,2356,2,
6404,11967,322,4,
6080,20725,3004,3,
8897,81146,653,1,
7683,74294,4121,5,
7853,82510,2015,3,
7895,12586,3550,1,
6189,74309,1118,2,
7854,84068,3137,1,
6514,87094,4743,2,
6821,56074,357,4,
7584,52372,1453,2,
6151,58001,556,3,
6830,48895,1235,4,
6051,30551,2909,2,
7476,7970,3873,3,
5949,29550,2516,1,
9000,51687,624,5,
6402,12004,690,5,
8826,11678,2690,4,
6897,43729,4787,4,
8467,69029,4853,1,
8817,12113,1233,1,
6172,31435,174,4,
7818,25282,1496,1,
7911,63885,2314,2,
8453,8632,140,3,
6752,84332,643,1,
7612,1756,239,3,
6752,74280,643,5,
7986,10278,110,1,
7229,38264,4458,5,
8453,47631,140,2,
6700,82929,2292,5,
8583,6701,4658,5,
6052,21595,2984,3,
7543,39428,2012,2,
7976,78366,3490,2,
7453,4839,3327,5,
7356,42884,720,5,
6169,3903,4232,2,
5816,52186,469,2,
7994,23848,2176,3,
6019,24643,1419,3,
7959,55786,4594,4,
7304,39024,1861,2,
8863,50553,546,2,
7022,29477,2432,2,
5602,85502,215,3,
8749,76608,4418,3,
8427,62433,1088,1,
6352,5931,738,3,
8863,28253,546,2,
6124,15182,4801,5,
7343,81281,4338,3,
6929,17205,727,4,
8700,37269,410,4,
7980,3090,88,4,
7524,23732,3627,4,
7238,14812,1678,2,
6944,46177,741,3,
6905,72988,1335,5,
8632,34465,3300,4,
6956,202,994,4,
5831,73961,4728,4,
7764,81050,3278,5,
5794,61193,314,2,
6969,23592,1047,1,
7354,26732,3817,5,
6247,54180,1536,2,
5888,77407,3797,4,
7674,38447,3807,3,
7036,27203,3349,5,
5888,18791,3797,1,
8404,33492,398,1,
6892,48209,2095,5,
6749,42932,1544,1,
8296,62320,3343,4,
8235,89180,2369,2,
8903,89310,2430,1,
8276,56819,4561,2,
7925,10129,808,4,
8071,35222,3861,2,
7088,46940,4432,1,
8300,1111,4712,2,
